game_name,spend_day,id
FIFA 17,2017-07-27,2a46e857038c2d97c378c30b1f48dd935fbf9039
FIFA 17,2017-05-12,2fa9ea7c3b6b55654bf0315909d169700572d404
FIFA 17,2017-04-21,84a40811bed3d34789a9704db16aff69a6787d31
FIFA 17,2017-05-04,21fa30e6c07514e70bf60c2f10e8a2596ad7109c
FIFA 17,2016-10-21,3fca56d5b1726361e5b717139c614d37ad4f55a6
FIFA 17,2016-10-10,c8f45a341fc0698459d830a35a6c88ffffb3686c
FIFA 17,2016-10-01,ee0b4c919fa5c6ac9f9f5cf732f201f7b0702abf
FIFA 17,2017-06-20,2e4f2ce4cda6e337e18a4224d51ee8f7e4b9c500
MADDEN 18,2017-08-24,fbe9a553cdf6170131c761f69e9d4a567cb53a8d
FIFA 17,2016-10-26,10e3433dc7456d6975465d40eb6893fa43c4c8fa
FIFA 17,2016-10-02,eabc1ed434cf0fe17eb2d73a352aa1b9c84ba2b2
FIFA 17,2016-10-02,c8b2eb1ff1770ab9b1c79062c2bb254303da64f3
FIFA 17,2016-12-11,953f85349ce678a71ca384fe131ad233d8e88a1d
FIFA 17,2016-10-10,2c37dd177500636d56b9a5c4e1c29d2fa0d9e1ec
FIFA 17,2017-01-10,a5499debdfd2539bf9b37c31fdc49d2e8ff7a059
FIFA 17,2016-12-18,315cc0061bc7ca0dd099ec13131abf6c04309fd1
FIFA 17,2017-05-20,e87c7586f360ecf65f912793ec7f627d12c7ca2b
FIFA 17,2016-10-21,64816f3b9c1e951e1f59daa1791b51399d41f4f2
FIFA 17,2017-06-25,cf4c2adc031adbfc9e025875d785a405a5cac5f9
FIFA 17,2017-08-27,808b44d5f8bf4b02085caa004adc6d051b497971
FIFA 17,2016-10-03,a6551ca4de25c8c03ab7352118347ea6d3ea7c8c
FIFA 17,2017-05-27,aa4a0f2967e5307c907887d1b7a585cdf515f4b3
FIFA 17,2017-06-02,36e051934c383dd4241164aa5d4f7194db37c4f0
FIFA 17,2017-05-29,fbe7687cd1e88420e55633c9845d82cc2b6a8d56
FIFA 17,2016-11-25,08f589ad4472859f4564040f6453e84cc0bb4092
FIFA 17,2016-10-07,9bf296cf76d642cf7d2d10e86bfd8aafed228186
FIFA 17,2016-11-19,776f8d980c5bf817ae171c7a8989a84db49c0bc4
FIFA 17,2017-05-20,d183a3a5f0952c6b22ad1c7bce92ebe56ca324db
FIFA 17,2016-11-02,3f21a77f91ac121e175085cdc11270e0f7f9fc1d
FIFA 17,2016-10-01,c829a8440cc748f7cba2fec98ad74ef07c66798d
FIFA 17,2016-10-10,ecdab9dc05431dda9051b94dd9e2682bb21b0c71
FIFA 17,2016-12-14,8bb8379e07bd49e03f794cf2c369fc2c9d8f80d2
FIFA 17,2017-02-21,7fb5b119e5c26832ea2c1de050276e85d9d53d76
FIFA 17,2017-05-13,afd1c62829af4b8577b345ad85ad949b71cf9d9e
FIFA 17,2017-01-09,739896078e0dcd0df0c37740384559674ea17def
FIFA 17,2016-10-03,95ab3b23edd5f4a1047a77df03f12e4498c0a3a9
FIFA 17,2017-03-26,07139bd5800364414d1e0ef2dae04aecce90a1c8
FIFA 17,2017-03-10,c16bfc0bbf52b21f71a70f6e2302a41ebd3d39b9
FIFA 17,2016-10-20,b876679a93f6b16bd025c6870309046cbbb5c528
FIFA 17,2017-02-05,9ebbad1621e410413b41bf8fe1fd17f19ce61c9b
FIFA 17,2017-02-24,2d9c6cef770ad937b6390321992d8b5d0f9f2d39
FIFA 17,2017-01-28,808b44d5f8bf4b02085caa004adc6d051b497971
FIFA 17,2016-10-04,51ebcdd8bb972916caff59e8f864a2ff767f4dd1
FIFA 17,2017-02-05,55083b0801e7c1a5d2a501dfd62eb89d8ed80a21
FIFA 17,2017-03-19,a24de1ce176951c037d75410d5b9ee41fcac719e
FIFA 17,2017-04-21,68bc4eb4466e3cfe69a0b794b5a90fa57c88e42d
FIFA 17,2017-01-13,76206fb2bfbc0ec0366ca6a1640a0cc754b41d03
FIFA 17,2017-03-24,6236dc44394f2a91cb58d35f473d307f0fdc034a
FIFA 17,2017-05-20,99a499299ce509afb320abf2592f72fbf7f8559f
FIFA 17,2017-04-15,7bbe64ada2225602748788e6db6e820dc0d97468
FIFA 17,2017-05-07,1acf4f938244cb535b27b7d6aaee4dea9cda81fe
FIFA 17,2016-11-23,3fca56d5b1726361e5b717139c614d37ad4f55a6
FIFA 17,2016-09-30,6a6eb2818fb06cc75ffa1b95b90cb5f8c7b3ee0f
FIFA 17,2017-03-22,744888fbd5d8f3d83f42329349ca6ced72a895a7
FIFA 17,2017-03-19,ba4a3e550935ecc762111ba85ed3e6edce75b72c
FIFA 17,2016-11-06,ce0008c69c8d70dde918bb6cd36f8b117c215fbd
FIFA 17,2016-11-05,ee0b4c919fa5c6ac9f9f5cf732f201f7b0702abf
FIFA 17,2016-10-25,19bd73d2cbe732220a733966f85b95c4d1719d50
MADDEN 17,2017-02-04,aee05881c4fecc05b5a3f23a2a7d3a682863dc8b
FIFA 17,2017-01-10,301a412d5d2bc30f0a3296e13421dee5d4d19ba3
FIFA 17,2016-12-11,9c9ba53e93cea26c44a903e75b4c22e0e0a4ad97
FIFA 17,2017-03-05,081685b64613cc7035530cf1d4c1b61f0ed53ecd
FIFA 17,2016-10-03,3f21a77f91ac121e175085cdc11270e0f7f9fc1d
FIFA 17,2017-01-24,76fa90c095736c587ad5725f5a19fc1716513fd0
FIFA 17,2016-12-25,049725299d5a5b1cabc4e85a8a4bc8e19a0cf1af
FIFA 17,2017-03-18,a5499debdfd2539bf9b37c31fdc49d2e8ff7a059
FIFA 17,2016-12-01,53ee007342deb556beecc1399cdd1535447d51a0
FIFA 17,2017-06-28,e0a37eb98c4152cc9ddf77a9c9e015437a7dfbcf
FIFA 17,2017-07-07,afd1c62829af4b8577b345ad85ad949b71cf9d9e
FIFA 17,2016-10-17,e9e7a8e217936a494d2f1d7b014d2a87319ef636
FIFA 17,2016-11-22,3fca56d5b1726361e5b717139c614d37ad4f55a6
FIFA 17,2016-12-01,18addbbb46220b67e0c86a991ff59f83fa677e41
MADDEN 17,2016-12-29,fbe9a553cdf6170131c761f69e9d4a567cb53a8d
FIFA 17,2016-11-06,2e4f2ce4cda6e337e18a4224d51ee8f7e4b9c500
FIFA 17,2017-07-09,b40894e81bbadc83bdfa4a8d62b3a56f73835f2f
FIFA 17,2016-12-25,94b93b81a22d2e829daca4d7f23626aa12036c4f
FIFA 17,2016-10-03,64ec7ca4f3e96df97a458a981e6321593b994535
FIFA 17,2017-06-30,a5499debdfd2539bf9b37c31fdc49d2e8ff7a059
MADDEN 17,2016-12-10,aee05881c4fecc05b5a3f23a2a7d3a682863dc8b
FIFA 17,2017-03-04,b40894e81bbadc83bdfa4a8d62b3a56f73835f2f
FIFA 17,2016-11-18,aa4a0f2967e5307c907887d1b7a585cdf515f4b3
FIFA 17,2016-12-08,40c8acbbf98a7212f61ae9ff79ac21fcdac8529c
FIFA 17,2016-12-21,154a50a0df011f41d7b62674862190d657b1f4d4
FIFA 17,2016-10-01,1ff0669de28236c5be1a99ebe9aaa2ea27ce6e91
FIFA 17,2017-04-01,7bbe64ada2225602748788e6db6e820dc0d97468
NHL 17,2017-03-05,47153f150228dbd517e85cf92e1098396e202d3d
FIFA 17,2016-12-20,1c918108d05aabdcf77fcd52be808a5ad31e08af
FIFA 17,2017-03-13,96ab75d3d8771b6e9623a91644bb83c55365592c
FIFA 17,2017-04-11,7cc98690ddfa653aa65490eef0a6f1dc390763e1
FIFA 17,2017-02-03,2a46e857038c2d97c378c30b1f48dd935fbf9039
FIFA 17,2017-08-12,6ae48e2e1fd2124797937d743e43ff570721b5a5
FIFA 17,2017-07-30,f44d1810df4e4c7c7db8666928ce54ed021c2919
FIFA 17,2017-06-07,c16bfc0bbf52b21f71a70f6e2302a41ebd3d39b9
FIFA 17,2017-01-10,f3b11cc0f455e78b505b007ef1d72fc5767df332
FIFA 17,2017-02-25,e0aa179a9a6a0d6a907db727035aad9fa2efe25f
FIFA 17,2016-10-11,b5c0991afa1e1b1af8841f44282c0605dd5c4d79
FIFA 17,2016-11-27,2d200b4cd015521437114f5401013ba48f193c77
FIFA 17,2017-08-10,942a9037ccbea2b5401a591acb9372a3bd9a661b
FIFA 17,2017-06-20,87514260f51473bef3c53ac090fe8a3678ca4aa6
FIFA 17,2017-04-14,1948fbf112e93e7dc8bdebe765ef2e1e9f1d988d
FIFA 17,2017-01-15,e516a644ddf1d6db9ca407c46b159a392b9927aa
FIFA 17,2016-11-26,0ea6e1e9a53f4bc657917a65c9b5c99118e73b33
