game_name,id,game_genre,game_launch_date,purchase_date
FIFA 16,dc998deb3d82a01577ba5ab17fbd2e87b9e64d2a,Sports,2015-09-22,2016-01-07
BATTLEFIELD 4,9ab4c238f98a781ab0d0583a7ca8d059a97fb86b,Shooter,2013-10-29,2016-06-19
FIFA 17,68fbf51a27c9e7e27c731a8e6541a2970eca70fb,Sports,2016-09-27,2017-01-11
MADDEN 16,cbbab5f4a879c794eed9854b7a47f9979ff50cf3,Sports,,2015-11-27
MADDEN 16,2eb76a6b18fe3f3fc2f6b9434b571f4c0acf56e1,Sports,,2016-02-13
MADDEN 16,443fc61505c32e37c0764726f8254220e5375cd8,Sports,,2015-12-25
FIFA 14,fd7734b66d08daa3094df468049f804d8c9f4b74,Sports,,2016-04-23
BATTLEFIELD 1,269bd3111b0de8871b4d9ab3e43853bb17db6635,Shooter,2016-10-21,2017-01-09
FIFA 17,b7067a7afeb07346854d0c1f1936b337eb0948e1,Sports,2016-09-27,2016-11-12
FIFA 16,12cea0cf1f6b866adf348a8d77d0db10229b5850,Sports,2015-09-22,2016-04-09
UFC 2,7197bf520ca2bdf0097be8303767b701ce306950,Fighting,2016-03-09,2017-01-10
FIFA 17,776f8d980c5bf817ae171c7a8989a84db49c0bc4,Sports,2016-09-27,2016-10-31
BATTLEFIELD 1,a06735f61711bcaa0a735dcf90325b0279bdd745,Shooter,2016-10-21,2016-12-27
NFS 2016,1929638ad7e4a31520357077a1228cfac1592b91,Action,2015-11-03,2016-04-24
UFC 2,9d20b787a9a889dbb0a69bcef6121f94fb879f63,Fighting,2016-03-09,2017-06-17
FIFA 17,47be2703bc07c1dfaea7564508961a4e617ca8d5,Sports,2016-09-27,2017-05-28
FIFA 17,5b089c343523d7efd432f64b471ae39804f84728,Sports,2016-09-27,2016-11-14
FIFA 17,a567e22acd62b4458441392ad0c17c529bef8a73,Sports,2016-09-27,2017-02-24
FIFA 17,0e9ceaff1110ac31d53845cb1490486797da5aad,Sports,2016-09-27,2016-12-12
BATTLEFIELD 1,15854fd2bf63b13288e3821884c3d95aaec1a353,Shooter,2016-10-21,2017-01-07
